agents=3
map_file=random-32-32-10.map
solver=planner
solved=1
soc=76
soc_lb=76
makespan=35
makespan_lb=35
sum_of_loss=76
sum_of_loss_lb=76
comp_time=0
seed=0
starts=(11,6),(29,9),(9,0),
goals=(7,18),(1,16),(13,21),
solution=
0:(11,6),(29,9),(9,0),
1:(11,7),(29,10),(10,0),
2:(11,8),(29,11),(11,0),
3:(10,8),(28,11),(11,1),
4:(10,9),(28,12),(11,2),
5:(10,10),(28,13),(11,3),
6:(10,11),(27,13),(11,4),
7:(10,12),(26,13),(11,5),
8:(10,13),(26,14),(11,6),
9:(10,14),(25,14),(11,7),
10:(10,15),(24,14),(11,8),
11:(9,15),(23,14),(11,9),
12:(9,16),(22,14),(11,10),
13:(9,17),(21,14),(12,10),
14:(9,18),(20,14),(12,11),
15:(8,18),(19,14),(12,12),
16:(7,18),(18,14),(12,13),
17:(7,18),(17,14),(12,14),
18:(7,18),(16,14),(13,14),
19:(7,18),(15,14),(13,15),
20:(7,18),(14,14),(13,16),
21:(7,18),(14,15),(13,17),
22:(7,18),(13,15),(13,18),
23:(7,18),(13,16),(13,19),
24:(7,18),(12,16),(13,20),
25:(7,18),(11,16),(13,21),
26:(7,18),(10,16),(13,21),
27:(7,18),(9,16),(13,21),
28:(7,18),(8,16),(13,21),
29:(7,18),(7,16),(13,21),
30:(7,18),(6,16),(13,21),
31:(7,18),(5,16),(13,21),
32:(7,18),(4,16),(13,21),
33:(7,18),(3,16),(13,21),
34:(7,18),(2,16),(13,21),
35:(7,18),(1,16),(13,21),
